customer_id,order_city,order_postal,order_state,latitude,longitude,state,region,city,zip_code
18287,Rock Springs,82901-7321,WY,41.5869,-109.2048,WY,West,Rock Springs,82901
18283,JACKSON,83001-9460,WY,43.48,-110.7618,WY,West,Jackson,83001
18282,Greybull,82426,WY,44.4892,-108.0562,WY,West,Greybull,82426
18281,EVANSTON,82930-4706,WY,41.268,-110.9633,WY,West,Evanston,82930
18280,CHEYENNE,82001-7901,WY,41.14,-104.8202,WY,West,Cheyenne,82001
18278,WHEELING,26003-6635,WV,40.064,-80.7209,WV,East,Wheeling,26003
18277,SHEPHERDSTOWN,25443-4827,WV,39.4301,-77.8042,WV,East,Shepherdstown,25443
18276,RIDGELEY,26753-7083,WV,39.6415,-78.7745,WV,East,Ridgeley,26753
18274,MOUNT HOPE,25880-1324,WV,37.8954,-81.1643,WV,East,Mount Hope,25880
18273,MOUNT CLARE,26408-6998,WV,39.19,-80.33,WV,East,Mount Clare,26408
18272,MOUNDSVILLE,26041-4037,WV,39.9204,-80.7431,WV,East,Moundsville,26041
18270,MORGANTOWN,26508-8649,WV,39.6295,-79.9559,WV,East,Morgantown,26508
18269,MORGANTOWN,26508-4276,WV,39.6295,-79.9559,WV,East,Morgantown,26508
18268,Martinsburg,25404,WV,39.4561,-77.9638,WV,East,Martinsburg,25404
18265,Jumping Branch,25969,WV,37.6576,-80.9765,WV,East,Jumping Branch,25969
18263,Fayetteville,25840,WV,38.0531,-81.104,WV,East,Fayetteville,25840
18262,FAIRMONT,26554-8240,WV,39.4851,-80.1426,WV,East,Fairmont,26554
18261,COLLIERS,26035-1500,WV,40.367,-80.5412,WV,East,Colliers,26035
18260,COLLIERS,26035,WV,40.367,-80.5412,WV,East,Colliers,26035
18259,CHARLESTON,25387-1201,WV,38.3506,-81.6333,WV,East,Charleston,25387
18257,CHARLESTON,25304-1451,WV,38.3506,-81.6333,WV,East,Charleston,25304
18256,Chapmanville,25508,WV,37.9737,-82.0174,WV,East,Chapmanville,25508
18255,Sun Prairie,53590,Wisconsin,43.1835,-89.2134,WI,Central,Sun Prairie,53590
18252,rice lake,54868,Wisconsin,45.5028,-91.7332,WI,Central,Rice Lake,54868
18251,Kaukauna,54130,Wisconsin,44.278,-88.2721,WI,Central,Kaukauna,54130
18250,WESTON,54476-1956,WI,,,WI,Central,Weston,54476
18249,WEST ALLIS,53219-2056,WI,43.0167,-88.007,WI,Central,West Allis,53219
18248,WAUWATOSA,53213-1221,WI,43.0494,-88.0079,WI,Central,Wauwatosa,53213
18246,WAUSAU,54401-3972,WI,44.9596,-89.6298,WI,Central,Wausau,54401
18245,Waunakee,53597,WI,43.1919,-89.4557,WI,Central,Waunakee,53597
18242,Wales,53183,WI,43.0045,-88.3768,WI,Central,Wales,53183
18241,SUN PRAIRIE,53590-3830,WI,43.1835,-89.2134,WI,Central,Sun Prairie,53590
18240,SOLON SPRINGS,54873-8132,WI,46.3533,-91.8224,WI,Central,Solon Springs,54873
18239,SLINGER,53086-9103,WI,43.3334,-88.2858,WI,Central,Slinger,53086
18237,SCHOFIELD,54476-1331,WI,44.9097,-89.6046,WI,Central,Schofield,54476
18236,salem,53168,wi,42.5547,-88.1109,WI,Central,Salem,53168
18235,RACINE,53405-5032,WI,42.7261,-87.7825,WI,Central,Racine,53405
18233,Port Washington,53074-1531,WI,43.3872,-87.8756,WI,Central,Port Washington,53074
18232,PLEASANT PRAIRIE,53158-3842,WI,42.5523,-87.9314,WI,Central,Pleasant Prairie,53158
18231,PLATTEVILLE,53818-1946,WI,42.7343,-90.4784,WI,Central,Platteville,53818
18230,PARDEEVILLE,53954-9472,WI,43.5378,-89.3001,WI,Central,Pardeeville,53954
18229,OSHKOSH,54902-9176,WI,44.0207,-88.5409,WI,Central,Oshkosh,54902
18228,Oregon,53575,WI,42.926,-89.3843,WI,Central,Oregon,53575
18227,ONALASKA,54650-2130,WI,43.8831,-91.2344,WI,Central,Onalaska,54650
18226,OCONTO FALLS,54154-1602,WI,44.8739,-88.1429,WI,Central,Oconto Falls,54154
18225,OCONOMOWOC,53066-3475,WI,43.1117,-88.4993,WI,Central,Oconomowoc,53066
18224,NORTH FOND DU LAC,54937-1219,WI,43.8114,-88.4834,WI,Central,North Fond Du Lac,54937
18223,NEW BERLIN,53151-2522,WI,42.9765,-88.109,WI,Central,New Berlin,53151
18222,NESHKORO,54960-8708,WI,43.9658,-89.2176,WI,Central,Neshkoro,54960
18221,NEENAH,54956-2031,WI,44.1858,-88.4626,WI,Central,Neenah,54956
18220,MUSKEGO,53150-9607,WI,42.9058,-88.139,WI,Central,Muskego,53150
18219,MUSKEGO,53150-6204,WI,42.9058,-88.139,WI,Central,Muskego,53150
18218,MINONG,54859-4601,WI,46.0994,-91.8248,WI,Central,Minong,54859
18217,MILWAUKEE,53211-2812,WI,43.0115,-87.9735,WI,Central,Milwaukee,53211
18216,Milwaukee,53211,WI,43.0115,-87.9735,WI,Central,Milwaukee,53211
18215,Milwaukee,53206,WI,43.0115,-87.9735,WI,Central,Milwaukee,53206
18213,MILTON,53563,WI,42.7756,-88.944,WI,Central,Milton,53563
18212,MIDDLETON,53562-3555,WI,43.1056,-89.5089,WI,Central,Middleton,53562
18211,MEQUON,53092-5531,WI,43.2219,-87.9823,WI,Central,Mequon,53092
18210,MENASHA,54952-9507,WI,44.2022,-88.4465,WI,Central,Menasha,54952
18209,MEDFORD,54451-9344,WI,45.1389,-90.3461,WI,Central,Medford,54451
18205,Mayville,53050,WI,43.4942,-88.5448,WI,Central,Mayville,53050
18204,Marshfield,54449,WI,44.6689,-90.1718,WI,Central,Marshfield,54449
18203,MANITOWOC,54220-9352,WI,44.0886,-87.6576,WI,Central,Manitowoc,54220
18202,Manitowoc,54220,WI,44.0886,-87.6576,WI,Central,Manitowoc,54220
18200,MALONE,53049-1526,WI,43.8603,-88.2815,WI,Central,Malone,53049
18198,"Madison,",53703,WI,43.0748,-89.3838,WI,Central,"Madison,",53703
18196,MADISON,53714-3330,WI,43.0748,-89.3838,WI,Central,Madison,53714
18194,MADISON,53705-1435,WI,43.0748,-89.3838,WI,Central,Madison,53705
18193,MADISON,53704-2017,WI,43.0748,-89.3838,WI,Central,Madison,53704
18192,MADISON,53703-2938,WI,43.0748,-89.3838,WI,Central,Madison,53703
18191,Madison,53703-1504,WI,43.0748,-89.3838,WI,Central,Madison,53703
18190,Lake Geneva,53147-2009,WI,42.5917,-88.4334,WI,Central,Lake Geneva,53147
18189,LaCrosse,54601,WI,43.8014,-91.2396,WI,Central,Lacrosse,54601
18188,La Valle,53941-9430,WI,43.5822,-90.1282,WI,Central,La Valle,53941
18185,Kewaskum,53040,WI,43.5214,-88.2279,WI,Central,Kewaskum,53040
18184,KENOSHA,53142-3957,WI,42.5847,-87.8212,WI,Central,Kenosha,53142
18183,Kenosha,53142,Wi,42.5847,-87.8212,WI,Central,Kenosha,53142
18181,Hudson,54016,WI,44.9747,-92.7569,WI,Central,Hudson,54016
18180,HOLMEN,54636-9230,WI,43.9633,-91.2563,WI,Central,Holmen,54636
18179,HILES,54511-8954,WI,,,WI,Central,Hiles,54511
18178,HAYWARD,54843-4043,WI,46.013,-91.4849,WI,Central,Hayward,54843
18177,GREENLEAF,54126-9616,WI,44.3136,-88.0957,WI,Central,Greenleaf,54126
18176,GREEN BAY,54311-4509,WI,44.5299,-88.0248,WI,Central,Green Bay,54311
18174,Green Bay,54311,WI,44.5299,-88.0248,WI,Central,Green Bay,54311
18173,GREEN BAY,54301-2424,WI,44.5299,-88.0248,WI,Central,Green Bay,54301
18172,GREEN BAY,54301-1044,WI,44.5299,-88.0248,WI,Central,Green Bay,54301
18171,Franklin,53132-8354,WI,42.8886,-88.0384,WI,Central,Franklin,53132
18170,FRANKLIN,53132-8192,WI,42.8886,-88.0384,WI,Central,Franklin,53132
18169,FRANKLIN,53132-8016,WI,42.8886,-88.0384,WI,Central,Franklin,53132
18168,ELKHORN,53121-4530,WI,42.6728,-88.5445,WI,Central,Elkhorn,53121
18167,EAU GALLE,54737-9562,WI,,,WI,Central,Eau Galle,54737
18165,delavan,53115,WI,42.6331,-88.6437,WI,Central,Delavan,53115
18164,DE PERE,54115-4123,WI,44.4487,-88.0601,WI,Central,De Pere,54115
18161,Danbury,54830,WI,46.0066,-92.3713,WI,Central,Danbury,54830
18160,COLBY,54421-9775,WI,44.91,-90.3157,WI,Central,Colby,54421
18159,CEDARBURG,53012-2729,WI,43.2967,-87.9876,WI,Central,Cedarburg,53012
18158,Cedarburg,53012,WI,43.2967,-87.9876,WI,Central,Cedarburg,53012
18156,BUTLER,53007-1204,WI,43.1058,-88.0695,WI,Central,Butler,53007
18155,BURLINGTON,53105-3603,WI,42.6781,-88.2762,WI,Central,Burlington,53105
18154,BROOKFIELD,53045-7818,WI,43.0606,-88.1065,WI,Central,Brookfield,53045
18151,BROOKFIELD,53005-1673,WI,43.0606,-88.1065,WI,Central,Brookfield,53005
18150,BIRNAMWOOD,54414,WI,44.9333,-89.2096,WI,Central,Birnamwood,54414
