transaction_date,customer_id,description,stock_code,invoice_no,quantity,sales,unit_price
12/1/2020 12:38,17897.0,Rechargeable Pet Nail Grinder,22960,,-1,-25.5,25.5
12/2/2020 17:27,15384.0,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0.0,5.1
12/6/2020 12:55,14487.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,76.5
12/6/2020 13:17,16550.0,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0.0,5.1
12/6/2020 15:09,16861.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,,-1,-17.7,17.7
12/6/2020 15:12,13481.0,Rechargeable Pet Nail Grinder,22960,,0,0.0,25.5
12/7/2020 12:45,17511.0,Dog and Puppy Pads,85123A,,0,0.0,15.3
12/7/2020 12:45,17511.0,Earth Rated Dog Poop Bags,85099B,,0,0.0,9.9
12/7/2020 12:45,17511.0,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0.0,4.32
12/7/2020 12:45,17511.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,65.7
12/8/2020 13:07,13113.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,65.7
12/8/2020 13:18,15311.0,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0.0,4.32
12/8/2020 13:33,14299.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,-1,-65.7,65.7
12/8/2020 15:57,13370.0,Rechargeable Pet Nail Grinder,22960,,0,0.0,25.5
12/9/2020 14:40,15750.0,Earth Rated Dog Poop Bags,85099B,,0,0.0,11.7
12/9/2020 15:43,15329.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,76.5
12/10/2020 14:03,15514.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,,0,0.0,17.7
12/10/2020 15:01,13798.0,Dog and Puppy Pads,85123A,,0,0.0,15.3
12/10/2020 15:01,13798.0,Earth Rated Dog Poop Bags,85099B,,-2,-19.8,9.9
12/10/2020 15:01,13798.0,Pet Grooming Brush,20725,,0,0.0,8.7
12/12/2020 12:51,13715.0,NexGard Chew for Dogs,82484,,0,0.0,38.7
12/13/2020 13:28,14085.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,76.5
12/13/2020 16:19,13448.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,,0,0.0,23.7
12/14/2020 9:54,13802.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,-1,-65.7,65.7
12/14/2020 9:59,16558.0,Rechargeable Pet Nail Grinder,22960,,0,0.0,25.5
12/14/2020 10:33,15093.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,-2,-131.4,65.7
12/14/2020 11:26,13599.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,,0,0.0,11.7
12/14/2020 11:30,16782.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,76.5
12/14/2020 11:45,17041.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,,0,0.0,23.7
12/14/2020 11:54,17017.0,Rechargeable Pet Nail Grinder,22960,,0,0.0,25.5
12/14/2020 13:06,14415.0,Dog and Puppy Pads,85123A,,0,0.0,17.7
12/15/2020 17:04,17820.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,0,0.0,76.5
12/16/2020 14:19,17188.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,-1,-65.7,65.7
12/16/2020 16:30,18065.0,Rechargeable Pet Nail Grinder,22960,,0,0.0,25.5
12/17/2020 9:37,16013.0,Dog and Puppy Pads,85123A,,-83,-1269.9,15.3
12/20/2020 12:25,14911.0,Dog and Puppy Pads,85123A,,-4,-70.8,17.7
12/20/2020 13:54,14299.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,-2,-131.4,65.7
12/20/2020 14:05,14911.0,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0.0,5.1
12/20/2020 15:52,12471.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,,-3,-197.1,65.7
12/21/2020 12:38,13319.0,UltraSound Dog Barking Deterrent,22720,,0,0.0,29.7
